Anaptychia palmulata
Arctoparmelia centrifuga
Arthonia caudata
Baeomyces byssoides
Bryoria furcellata
Buellia disciformis
Buellia
Caloplaca cerina
Candelaria concolor
Cetraria ericetorum
Cetraria islandica
Cetrelia chicitae
Cetrelia olivetorum
Cladonia arbuscula
Cladonia boryi
Cladonia caespiticia
Cladonia cariosa
Cladonia coniocraea
Cladonia crispata
Cladonia cristatella
Cladonia deformis
Cladonia digitata
Cladonia furcata
Cladonia gracilis
Cladonia grayi
Cladonia multiformis
Cladonia parasitica
Cladonia peziziformis
Cladonia pleurota
Cladonia pyxidata
Cladonia rangiferina
Cladonia squamosa
Cladonia stellaris
Cladonia submitis
Cladonia turgida
Cladonia uncialis
Collema leptaleum
Collema nigrescens
Cyphelium tigillare
Dermatocarpon miniatum
Dibaeis baeomyces
Dimelaena oreina
Diploschistes scruposus
Evernia mesomorpha
Flavoparmelia baltimorensis
Flavoparmelia caperata
Heterodermia hypoleuca
Hypogymnia enteromorpha
Hypogymnia krogiae
Hypogymnia physodes
Icmadophila ericetorum
Julella sericea
Lasallia papulosa
Lecania cyrtella
Lecanora allophana
Lecanora hagenii
Lobaria pulmonaria
Lobaria quercizans
Loxospora ochrophaea
Melanelia stygia
Melanohalea olivacea
Melanohalea septentrionalis
Micarea prasina
Montanelia sorediata
Mycoblastus sanguinarius
Mycocalicium subtile
Myelochroa aurulenta
Myelochroa galbina
Nephroma laevigatum
Ochrolechia subviridis
Ochrolechia tartarea
Opegrapha varia
Ophioparma lapponica
Parmelia omphalodes
Parmelia saxatilis
Parmelia squarrosa
Parmelia sulcata
Parmeliopsis ambigua
Parmeliopsis hyperopta
Parmotrema perforatum
Parmotrema perlatum
Peltigera canina
Peltigera didactyla
Peltigera elisabethae
Peltigera horizontalis
Peltigera hydrothyria
Pertusaria communis
Pertusaria leioplaca
Pertusaria multipuncta
Pertusaria rubefacta
Phaeophyscia orbicularis
Phaeophyscia rubropulchra
Physcia adscendens
Physcia caesia
Physcia millegrana
Physcia stellaris
Physcia subtilis
Physcia tribacia
Placynthiella uliginosa
Platismatia glauca
Platismatia tuckermanii
Porpidia albocaerulescens
Pseudevernia cladonia
Pseudevernia consocians
Pseudocyphellaria crocata
Punctelia rudecta
Pycnothelia papillaria
Pyxine sorediata
Ramalina calicaris
Ramalina farinacea
Ramalina roesleri
Ramalina willeyi
Ramboldia elabens
Rhizocarpon grande
Rhizocarpon
Rhizoplaca chrysoleuca
Rusavskia elegans
Scytinium tenuissimum
stereocaulon paschale
Stereocaulon
Stictis urceolatum
Trapeliopsis granulosa
Umbilicaria hyperborea
Umbilicaria mammulata
Umbilicaria muehlenbergii
Usnea angulata
Usnea articulata
Usnea barbata
Usnea glabrata
Usnea longissima
Usnea subfusca
Usnea trichodea
Usnocetraria oakesiana
Variolaria amara
Vulpicida pinastri
Vulpicida viridis
Xanthoparmelia
Xanthoparmelia coloradoensis
Xanthoparmelia cumberlandia
Xanthoparmelia novomexicana
Xanthoparmelia plittii
Xanthoria parietina
